entrez,symbol,length,ctrl_1,ctrl_2,ctrl_3,ctrl_4,Pp_1,Pp_2,Pp_3,Pp_4,Pm_1,Pm_2,Pm_3,Pm_4,entrez,symbol,length,ctrl_1_1,ctrl_2_1,ctrl_3_1,ctrl_4_1,Pp_1_1,Pp_2_1,Pp_3_1,Pp_4_1,X2_Pp_1,X2_Pp_2,X2_Pp_3,X2_Pp_4
27395,Mrpl15,8487.0,2484.0,2021.0,2681.0,2452.0,2418.0,2261.0,2180.0,2493.0,2862.0,2452.0,2959.0,1874.0,27395,Mrpl15,8487.0,2396.0,2336.0,2644.0,2639.0,1833.0,2386.0,2403.0,2182.0,2347.0,2807.0,2162.0,2025.0
18777,Lypla1,7145.0,1044.0,991.0,1151.0,1244.0,1364.0,1329.0,1195.0,1243.0,1141.0,1200.0,1338.0,918.0,18777,Lypla1,7145.0,1151.0,1070.0,1292.0,1235.0,938.0,1369.0,1352.0,1229.0,1119.0,1180.0,949.0,928.0
21399,Tcea1,3017.0,2810.0,2327.0,2991.0,3009.0,2810.0,2561.0,2509.0,2698.0,2770.0,2887.0,3617.0,2366.0,21399,Tcea1,3017.0,2607.0,2627.0,3129.0,2946.0,1852.0,2580.0,2659.0,2304.0,2736.0,2720.0,2448.0,2292.0
,Gm6104,603.0,21.0,11.0,27.0,24.0,14.0,21.0,20.0,18.0,26.0,17.0,18.0,15.0,,,603.0,24.0,14.0,17.0,24.0,11.0,30.0,30.0,28.0,30.0,15.0,19.0,13.0
58175,Rgs20,4239.0,54.0,49.0,48.0,73.0,109.0,87.0,109.0,105.0,86.0,60.0,77.0,79.0,58175,Rgs20,4239.0,50.0,48.0,50.0,47.0,62.0,93.0,108.0,79.0,51.0,55.0,54.0,46.0
108664,Atp6v1h,9746.0,2476.0,2004.0,2647.0,2583.0,2153.0,2027.0,1867.0,1941.0,2762.0,2512.0,3141.0,1963.0,108664,Atp6v1h,9746.0,2380.0,2456.0,2665.0,2591.0,1579.0,2060.0,2295.0,1960.0,2085.0,2630.0,1977.0,1877.0
12421,Rb1cc1,14690.0,2275.0,1847.0,2403.0,2330.0,2369.0,2201.0,2073.0,2194.0,2215.0,2287.0,2511.0,1741.0,12421,Rb1cc1,14690.0,2046.0,2128.0,2372.0,2310.0,1526.0,2187.0,2277.0,2078.0,2269.0,2529.0,2223.0,1965.0
,4732440D04Rik,5428.0,18.0,16.0,30.0,20.0,21.0,20.0,7.0,13.0,21.0,17.0,21.0,15.0,,,5428.0,11.0,19.0,23.0,26.0,10.0,17.0,22.0,16.0,14.0,24.0,32.0,22.0
319263,Pcmtd1,6654.0,820.0,661.0,872.0,841.0,870.0,893.0,846.0,899.0,907.0,882.0,944.0,662.0,319263,Pcmtd1,6654.0,808.0,811.0,878.0,859.0,637.0,922.0,968.0,837.0,891.0,1001.0,848.0,764.0
,Gm38372,4028.0,11.0,10.0,13.0,13.0,12.0,13.0,19.0,5.0,19.0,20.0,14.0,13.0,,,4028.0,17.0,29.0,17.0,21.0,18.0,24.0,25.0,13.0,28.0,32.0,45.0,29.0
,Gm15452,240.0,13.0,10.0,11.0,3.0,9.0,13.0,9.0,14.0,9.0,9.0,6.0,5.0,,,240.0,8.0,14.0,17.0,13.0,14.0,14.0,14.0,9.0,8.0,15.0,18.0,18.0
,Gm36964,198.0,8.0,8.0,9.0,4.0,8.0,8.0,14.0,9.0,24.0,17.0,16.0,9.0,,,,,,,,,,,,,,,
59014,Rrs1,2048.0,4363.0,3769.0,4699.0,4552.0,4394.0,4453.0,3730.0,4373.0,4718.0,4107.0,5257.0,3196.0,59014,Rrs1,2048.0,4143.0,4325.0,4652.0,4660.0,3238.0,4434.0,4320.0,4044.0,4486.0,5182.0,4149.0,3866.0
76187,Adhfe1,3780.0,350.0,317.0,413.0,417.0,364.0,368.0,355.0,315.0,339.0,376.0,457.0,344.0,76187,Adhfe1,3780.0,333.0,385.0,378.0,387.0,264.0,328.0,399.0,331.0,329.0,410.0,346.0,280.0
72481,2610203C22Rik,4910.0,70.0,63.0,75.0,65.0,128.0,134.0,120.0,115.0,105.0,71.0,99.0,58.0,,,4910.0,67.0,67.0,82.0,63.0,81.0,132.0,115.0,133.0,155.0,172.0,135.0,149.0
17864,Mybl1,5402.0,603.0,483.0,644.0,618.0,788.0,817.0,802.0,800.0,632.0,626.0,666.0,476.0,17864,Mybl1,5402.0,583.0,598.0,702.0,579.0,531.0,899.0,782.0,733.0,924.0,1014.0,890.0,809.0
70675,Vcpip1,9749.0,2427.0,2132.0,2814.0,2476.0,2669.0,2433.0,2251.0,2415.0,2582.0,2797.0,3105.0,2076.0,70675,Vcpip1,9749.0,2434.0,2626.0,2893.0,2664.0,1842.0,2430.0,2730.0,2272.0,2954.0,3122.0,2719.0,2549.0
,1700034P13Rik,3101.0,20.0,21.0,26.0,20.0,34.0,48.0,29.0,30.0,53.0,58.0,30.0,34.0,,,3101.0,27.0,29.0,18.0,25.0,29.0,38.0,45.0,35.0,63.0,63.0,51.0,43.0
170755,Sgk3,14311.0,31.0,30.0,34.0,29.0,6.0,9.0,6.0,7.0,13.0,18.0,20.0,8.0,170755,Sgk3,14311.0,40.0,40.0,45.0,36.0,3.0,4.0,11.0,5.0,30.0,46.0,41.0,19.0
73824,Snhg6,1146.0,1194.0,1121.0,1313.0,1240.0,950.0,929.0,916.0,906.0,1162.0,1155.0,1432.0,865.0,73824,Snhg6,1146.0,1114.0,1273.0,1313.0,1334.0,766.0,952.0,1002.0,839.0,1087.0,1507.0,1141.0,1020.0
26754,Cops5,3766.0,4184.0,3684.0,4672.0,4213.0,5337.0,5254.0,4700.0,4822.0,5457.0,4658.0,5358.0,3491.0,26754,Cops5,3766.0,4143.0,4167.0,4571.0,4281.0,3920.0,5333.0,5268.0,4803.0,4418.0,5154.0,4276.0,3971.0
211660,Cspp1,17553.0,1222.0,1117.0,1433.0,1260.0,1446.0,1371.0,1425.0,1338.0,1512.0,1516.0,1492.0,1085.0,211660,Cspp1,17553.0,1261.0,1351.0,1385.0,1309.0,961.0,1432.0,1539.0,1195.0,1586.0,1739.0,1666.0,1315.0
211673,Arfgef1,11318.0,7383.0,6332.0,7980.0,7413.0,8077.0,7347.0,6783.0,7012.0,7720.0,8583.0,9306.0,6219.0,211673,Arfgef1,11318.0,7097.0,7244.0,7918.0,7595.0,5228.0,7288.0,7614.0,6447.0,7047.0,8056.0,7049.0,6293.0
17978,Ncoa2,15642.0,2049.0,1807.0,2222.0,2057.0,2263.0,2330.0,2075.0,2104.0,2062.0,2186.0,2304.0,1605.0,17978,Ncoa2,15642.0,1848.0,1884.0,2102.0,2025.0,1629.0,2287.0,2218.0,1911.0,2287.0,2610.0,2269.0,2149.0
72265,Tram1,3162.0,2878.0,2501.0,3021.0,3067.0,3035.0,2936.0,2846.0,2794.0,2854.0,2616.0,3204.0,2084.0,72265,Tram1,3162.0,2768.0,2918.0,3243.0,3147.0,2350.0,3091.0,3266.0,2601.0,2853.0,3344.0,2682.0,2587.0
212442,Lactb2,4566.0,2012.0,1770.0,2283.0,2079.0,2279.0,2204.0,2083.0,2255.0,2373.0,2244.0,2592.0,1695.0,212442,Lactb2,4566.0,2034.0,1893.0,2273.0,2152.0,1568.0,2104.0,2241.0,2036.0,1888.0,2157.0,1931.0,1670.0
665407,Rpl5-ps1,894.0,9.0,5.0,9.0,13.0,17.0,10.0,13.0,18.0,8.0,13.0,11.0,11.0,665407,Rpl5-ps1,894.0,10.0,9.0,11.0,13.0,6.0,13.0,5.0,8.0,6.0,5.0,6.0,14.0
21749,Terf1,4608.0,1669.0,1471.0,1953.0,1862.0,1911.0,1896.0,1695.0,1814.0,1960.0,1734.0,1962.0,1314.0,21749,Terf1,4608.0,1534.0,1704.0,1842.0,1788.0,1301.0,1904.0,1841.0,1632.0,2007.0,2336.0,1846.0,1620.0
19989,Rpl7,2687.0,29083.0,24248.0,31171.0,29763.0,30086.0,28708.0,26524.0,28184.0,29980.0,26994.0,31941.0,20399.0,19989,Rpl7,2687.0,27235.0,28556.0,31260.0,31089.0,21056.0,29268.0,30547.0,28190.0,29360.0,36098.0,27575.0,25489.0
98711,Rdh10,4160.0,355.0,286.0,364.0,317.0,266.0,280.0,274.0,218.0,326.0,283.0,373.0,235.0,98711,Rdh10,4160.0,310.0,338.0,331.0,357.0,181.0,307.0,298.0,235.0,361.0,429.0,337.0,307.0
29819,Stau2,6747.0,105.0,80.0,102.0,92.0,132.0,113.0,105.0,110.0,68.0,77.0,97.0,65.0,29819,Stau2,6747.0,81.0,75.0,97.0,110.0,71.0,128.0,121.0,88.0,105.0,129.0,62.0,73.0
66799,Ube2w,4930.0,998.0,871.0,1018.0,1089.0,1253.0,1111.0,1038.0,1096.0,1086.0,1110.0,1254.0,887.0,66799,Ube2w,4930.0,985.0,989.0,1114.0,1017.0,816.0,1116.0,1142.0,1070.0,938.0,1089.0,966.0,824.0
67923,Eloc,3026.0,2222.0,1893.0,2561.0,2250.0,2950.0,2730.0,2365.0,2540.0,2694.0,2624.0,2933.0,1907.0,67923,Eloc,3026.0,2060.0,2123.0,2455.0,2126.0,1815.0,2634.0,2559.0,2392.0,2322.0,2643.0,2184.0,1954.0
70397,Tmem70,1820.0,1594.0,1280.0,1613.0,1514.0,1424.0,1372.0,1193.0,1341.0,1524.0,1558.0,1710.0,1093.0,70397,Tmem70,1820.0,1514.0,1515.0,1645.0,1674.0,1074.0,1411.0,1604.0,1259.0,1558.0,1712.0,1498.0,1305.0
17087,Ly96,1021.0,129.0,101.0,138.0,126.0,137.0,139.0,154.0,168.0,152.0,113.0,143.0,88.0,17087,Ly96,1021.0,109.0,123.0,148.0,154.0,100.0,117.0,135.0,152.0,116.0,142.0,109.0,89.0
17215,Mcm3,3752.0,5382.0,4336.0,5770.0,5220.0,6629.0,6625.0,5622.0,5783.0,6555.0,5240.0,6225.0,4105.0,17215,Mcm3,3752.0,4877.0,5220.0,5504.0,5246.0,4618.0,6606.0,6339.0,5458.0,6039.0,7273.0,5794.0,5560.0
170829,Tram2,6661.0,1773.0,1575.0,1941.0,1796.0,2253.0,2276.0,1956.0,1948.0,2101.0,2141.0,2184.0,1526.0,170829,Tram2,6661.0,1663.0,1818.0,1865.0,2010.0,1572.0,2206.0,2170.0,1838.0,2247.0,2564.0,2213.0,2074.0
226922,Kcnq5,7689.0,607.0,521.0,663.0,615.0,281.0,307.0,292.0,277.0,431.0,503.0,534.0,355.0,226922,Kcnq5,7689.0,644.0,618.0,699.0,691.0,221.0,280.0,322.0,286.0,543.0,592.0,524.0,470.0
665489,Gm7658,1124.0,12.0,19.0,22.0,27.0,9.0,14.0,19.0,13.0,16.0,23.0,25.0,14.0,665489,Gm7658,1124.0,14.0,22.0,29.0,23.0,23.0,20.0,24.0,17.0,15.0,25.0,16.0,7.0
70155,Ogfrl1,8109.0,291.0,194.0,279.0,289.0,267.0,249.0,223.0,239.0,220.0,195.0,204.0,167.0,70155,Ogfrl1,8109.0,236.0,262.0,264.0,284.0,166.0,245.0,227.0,203.0,328.0,409.0,289.0,290.0
98366,Smap1,3575.0,3771.0,2987.0,3899.0,3799.0,4504.0,4588.0,4068.0,4327.0,3893.0,3446.0,4076.0,2810.0,98366,Smap1,3575.0,3432.0,3424.0,3801.0,3863.0,3061.0,4396.0,4228.0,3784.0,3217.0,3828.0,3161.0,2945.0
68002,Sdhaf4,874.0,132.0,108.0,139.0,134.0,184.0,166.0,159.0,149.0,163.0,131.0,154.0,107.0,68002,Sdhaf4,874.0,131.0,124.0,143.0,135.0,119.0,164.0,165.0,137.0,134.0,186.0,126.0,124.0
68187,Fam135a,7773.0,1699.0,1528.0,1920.0,1835.0,2054.0,1904.0,1884.0,1806.0,2006.0,1843.0,2264.0,1534.0,68187,Fam135a,7773.0,1709.0,1753.0,2084.0,1943.0,1456.0,2004.0,2147.0,1733.0,1924.0,2270.0,2006.0,1698.0
12839,Col9a1,5068.0,38.0,24.0,22.0,35.0,30.0,41.0,34.0,39.0,174.0,136.0,151.0,92.0,12839,Col9a1,5068.0,25.0,20.0,21.0,22.0,26.0,20.0,38.0,43.0,377.0,443.0,355.0,311.0
,Gm28438,345.0,17.0,24.0,29.0,14.0,19.0,16.0,30.0,18.0,25.0,21.0,22.0,15.0,,,345.0,15.0,21.0,18.0,18.0,15.0,11.0,25.0,17.0,16.0,22.0,15.0,19.0
100503946,Gm10925,678.0,8.0,9.0,13.0,9.0,6.0,10.0,19.0,15.0,12.0,12.0,8.0,6.0,100503946,Gm10925,678.0,2.0,7.0,8.0,8.0,6.0,11.0,16.0,18.0,13.0,17.0,16.0,16.0
